Extractor1,Extractor2,Full name of the society,Society info source,Society base country,Society type,"EDI (Equity, Diversity, Inclusion) statement present","EDI (Equity, Diversity, Inclusion) structure present",EDI comment,Fees info source,Currency of society fees,Standard individual regular membership fee per year,Comment on the standard individual regular membership fee per year,Standard individual student membership fee per year,Comment on the standard individual student membership fee per year,Standard individual postdoc membership fee per year,Comment on the standard individual postdoc membership fee per year,Eligibility timeframe for standard individual postdoc membership fee,Comment on the eligibility timeframe for standard individual postdoc membership fee,Discounted fees available for individual members from some countries or regions,Countries or regions eligible for discounted/waived fees,Comment on countries or regions eligible for discounted/waived fees,Increased fees imposed on individual members from some countries or regions (e.g. outside society’s home country),Countries or regions eligible for increased fees,Comment on countries or regions eligible for increased fees,Discounted individual membership fees available for the following groups,Comment on groups eligible for discounted fees,Complete or partial individual membership fee waivers available on individual request,Comment on individual requests for discounted fees or waivers,Voluntary donations not linked to membership application,Comment on voluntary donations not linked to membership application,Individual full membership benefits,Comment on society membership benefits,Comments_general,Censor-irrelevant,Censor-noinfo,Multiple-currencies,Extractor1,Extractor2
Elina Takola,James A. Orr,International Mycorrhiza Society,https://mycorrhizas.org/,USA,International by name,yes,no,https://mycorrhizas.org/home/about-us/code-of-conduct/,https://mycorrhizas.org/home/join/,USD,50,,25,,,,,,no,,,no,,Increased fee for corporate membership,student,,no,,yes,,"Conference registration discount or waiver, Journal subscription discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)","Individual Membership advantages:

Discounted registration fee to ICOM
IMS newsletter
Voting on Society business and officer elections
Participation in Society committees
Networking opportunities with colleagues
Member pricing for the Mycorrhiza Journal for $93 USD a year

Student Membership has additional benefits: 

Eligibility for IMS travel fellowships
Eligibility for the Harley Medal for the best ICOM student presentation
Eligibility for Australia award
Access to IMS employment resources and eventual job fairs at ICOM and other meetings
Member pricing for the Mycorrhiza Journal for $93 USD a year
Half price off Individual Membership dues.","Page 1 (section 1 - 1.01) of the by laws (https://mycorrhizas.org/wp-content/uploads/2023/11/Bylaws.pdf) implies that the society was founded in Canada - maybe this is the base country? Hard to tell. 

On Page 4 (section 3.02) of the by laws it states that post postural fellows are eligible for the ""Student"" membership category - but this document seems quite old so I'm not sure if this is still relevant.",0,0,0,Elina Takola,James A. Orr
Eli Thoré,Zhenzhuo Xian,International Network for the Study of Asian Ants,http://www.antbase.net/anet/start.html,Germany,International by name,no,no,,http://www.antbase.net/anet/membership.html,EUR,,no info,,No info available,,No info available,,,no,,,no,,,NA,No info available,no,No info available,no,No info available,,No info available,"You can request membership, but no info is given regarding membership fee and benefits. (http://www.antbase.net/anet/membership.html)",0,1,0,Eli Thoré,Zhenzhuo Xian
Matthieu Paquet,Patrice Pottier,International Oak Society,https://www.internationaloaksociety.org/,USA,International by name,no,no,,https://www.internationaloaksociety.org/content/join-ios,USD,20,40 with hard copy of journal is newsletter,10,20 with hard copies,,,,,no,,,no,,,student,,no,,yes,https://www.internationaloaksociety.org/content/donate-conserve-oaks-0,"Journal subscription discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses), Other","be able to participate to the conference
Awards are for both members and non-members",,0,0,0,Matthieu Paquet,Patrice Pottier
Joanna Rutkowska,Michael Bertram,International Ornithologists' Union,https://www.internationalornithology.org/,USA,International by name,no,no,,https://www.internationalornithology.org/membership,USD,80,IOU Member (High-income countries),40,IOU Student Member (High-income countries),,,,,yes,Middle-income countries and Low-income countries,multiple discount levels,no,,,student,,yes,"IOU Complimentary Member

The IOU is aware that even the very low IOU membership dues may not be affordable by some ornithologists or citizen scientists and that certain countries do not allow payments to a foreign account. Therefore, this type of membership is available upon application and will be paid and awarded by the IOU.
",yes,"Donations in addition to or separate from membership dues

Donations will be gratefully accepted and may be tax-deductible for the donor. The IOU is a public tax-exempt charitable organization under the Internal Revenue Code (IRC) Section 501(c) (3) of the United States, but tax regulations may vary among countries. Donors will receive a personal letter of thanks by the IOU president and will be acknowledged on the IOU web page (donors may request anonymity).

Donations may be made through credit cards or bank transfers. For donations of appreciated stocks (securities) to take advantage of tax regulations, please contact the IOU President or the IOU Treasurer. For donations in memory of someone or to establish an endowment, please contact the IOU President.","Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)","BENEFITS OF BECOMING AN IOU MEMBER

    Being part of a global community dedicated to the IOU’s vision and mission
    A membership certificate signed by the IOU President and the IOU Chair of the Membership Committee
    Members-only access to the IOU membership list for networking and collaboration (individual members may opt to have their personal information withheld)
    Members-only registration fees to the International Ornithological Congresses™ (IOCongresses™) and other IOU-sponsored events
    Members-only discounts on books by selected publishers
    Free access to the IOU webinars by distinguished ornithologists
    Access to travel fellowships and travel support to attend the IOCongresses
    Immediate members-only access to the information-rich IOU Magazine The Flutter
    Participation in and/or establishment of Working Groups to address specific projects or issues
    Eligibility for IOU officerships and honors
    Voting rights on particular IOU matters
    Access to the Ornithological Exchange https://ornithologyexchange.org/
    Additional organizational member benefit includes organization logo and link to the organization's website on the IOU webpage and a mention in The Flutter.
",,0,0,0,Joanna Rutkowska,Michael Bertram
Matthieu Paquet,Patrice Pottier,International Palm Society,https://palms.org/,USA,"International by chapter, International by aims or scope of activities",no,no,,https://palms.org/register/,USD,40,there is also a free membership that excludes voting rights and online access to the journal,,,,,,,no,,,no,,,no fees,the no fee option doesn't include all advantages of the paid option,no,,yes,,"Conference registration discount or waiver, Journal subscription discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)",,,0,0,0,Matthieu Paquet,Patrice Pottier
Caleb Onoja Akogwu,Dylan G. E. Gomes,International Peatland Society,https://peatlands.org/j,Finland,"International by name, International by chapter",no,no,,http://tinyurl.com/ipsmemberform,EUR,55,individual membership,29,student members,,,,,yes,,"(50% discount for members in World Bank’s low-income countries, https://data.worldbank.org/country/XM)",no,,,"student, junior, other","other = ""corporate / institute / ngo members""",no,,no,,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)","You will receive Peatland Snippets by email 10-12 times/year, the Peatlands International e-magazine 4 times/year and you are entitled to significant discounts at IPS conferences and other events. ","I could not find their constitution and apart from the President and 2 Vice Presidents, the portfolio for other executives was not started so I could not verify if they have EDI Officer.",0,0,0,Caleb Onoja Akogwu,Dylan G. E. Gomes
Kevin R. Bairos-Novak,Zhenzhuo Xian,International Primatological Society,https://www.internationalprimatologicalsociety.org/,USA,International by name,yes,yes,"https://internationalprimatologicalsociety.org/ips-officers-statement-on-discrimination-and-racism/
'New position of Vice President for Ethics, Diversity, Equity, and Inclusion'",https://www.internationalprimatologicalsociety.org/about/membership/,USD,60,,30,,,,,,yes,Primate range state countries' are waived = countries which contain primates?,anyone for whom the fees would be a barrier to joining to contact our Treasurer',no,,,"student, other",Membership dues are waived for members from primate range state countries,yes,anyone for whom the fees would be a barrier to joining to contact our Treasurer',yes,,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver",,,0,0,0,Kevin R. Bairos-Novak,Zhenzhuo Xian
Matthieu Paquet,Michael Bertram,International Seaweed Association,https://isaseaweed.org/,USA,International by name,no,no,,https://isaseaweed.org/membership/,USD,25,membership is also obtained when registering to the symposia and is valid until the next one. They usually take place every 3 years,,,,,,,no,,,no,,,NA,,no,,yes,,"Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)","""Get your own profile in the member’s area, access to fora and hidden content.""",,0,0,0,Matthieu Paquet,Michael Bertram
Shinichi Nakagawa,Yefeng Yang,International Society for Applied Ethology,https://www.applied-ethology.org/,UK,International by name,yes,yes,"Equity, Diversity, Inclusion, and Accessibility (EDIA) Committee; guideline at https://www.applied-ethology.org/res/EDIA%20Guidelines%20ISAE%20FINAL%20v1.1.pdf",https://www.applied-ethology.org/Become_A_Member.html,GBP,35,regular members,15,"Please note that to qualify for student rate, applicants and members have to submit proof of student status to the Membership Secretary each year they apply for the discounted rate.",,,,,no,,,no,,,"student, retired/emeritus",,no,,no,,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses), Other",other: Help with English Service; https://www.applied-ethology.org/Membership_Benefits.html,,0,0,0,Shinichi Nakagawa,Yefeng Yang
Losia Lagisz,Shinichi Nakagawa,International Society for Behavioural Ecology,https://www.behavecol.com/,USA,International by name,yes,no,"https://www.behavecol.com/equity-diversity-and-inclusion-policy, contact to general Secretary",https://academic.oup.com/beheco/subscribe,USD,68.5,2 year - Membership + Online-only access - $137,35.5,2 Year -Student or Emeritus rate - Membership + Online - $71,,,,,no,,,no,,,"student, retired/emeritus",,no,,no,,"Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver",,,0,0,0,Losia Lagisz,Shinichi Nakagawa
Matthieu Paquet,Michael Bertram,International Society for Biocuration,https://www.biocuration.org/,Switzerland,International by name,yes,yes,https://www.biocuration.org/equity-diversity-and-inclusion-committee/,https://www.biocuration.org/membership/membership-levels/,CHF,60,this is the rate for Academia/not for profit. Rate are higher for industries (up to 120 CHF),20,15CHF for students from low and lower middle income coutries,,,,,yes,Low and Lower-middle Income Countries as defined by the World Bank https://datahelpdesk.worldbank.org/knowledgebase/articles/906519-world-bank-country-and-lending-groups,,no,,,"student, retired/emeritus, non-academic specialists","""Biocurator, Developer, Bioinformatician"" is a category that has lower fees (I took ""Principal investigator"" fees as standard)",no,,no,,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Publication fees (APC) discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses), Other",Mailing List to 900 individuals (free of cost); Job Postings (free of cost),,0,0,0,Matthieu Paquet,Michael Bertram
Matthieu Paquet,Michael Bertram,International Society for Computational Biology,https://www.iscb.org/,USA,International by name,yes,yes,https://www.iscb.org/iscb-edi,https://www.iscb.org/iscb-membership-dues,USD,135,From 15 to 135 USD depending on country income,55,from 5 to 55 USD  depending on country income,85,from 5 to 85 USD depending on country income,,,yes,"Upper-Middle Income County, Lower-Middle Income County, and Low Income Country, based on ranking of economies",3 discount levels. Accessible via a fee calculator page https://www.iscb.org/iscb-membership-dues,no,,,"student, postdoc / ECR (excluding students), unemployed","""New and returning Professional members who are unemployed at the time of registration may submit a request to admin@iscb.org for approval to register at the Post Doctoral rate within the H, UM, LM, or L residence dues category for one year only.""",yes,"""New and returning Professional members who are unemployed at the time of registration may submit a request to admin@iscb.org for approval to register at the Post Doctoral rate within the H, UM, LM, or L residence dues category for one year only.""",yes,https://www.iscb.org/support-iscb,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Publication fees (APC) discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)",https://www.iscb.org/become-a-member#benefits,,0,0,0,Matthieu Paquet,Michael Bertram
Shinichi Nakagawa,Zhenzhuo Xian,International Society for Ecological Economics,https://www.isecoeco.org/,USA,International by name,no,no,,https://www.isecoeco.org/membership/,USD,161,the highest income bracket,18,,,,,,yes,"Reduced Membership Dues, for INSEE members only - India","Reduced Membership Dues, for INSEE(India) members only:
$9 for income less than $15,000
$21 for income between $15,000 and $30,000
$42 for income between $30,000 and $60,000
$68 for income between $60,000 and $90,000
$80 for income $90,000 and over",yes,,,"student, fees proportional to income brackets",,no,,yes,,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses), Other",https://www.isecoeco.org/membership/,,0,0,0,Shinichi Nakagawa,Zhenzhuo Xian
April Robin Martinig,Saeed Shafiei Sabet,International Society for Ecological Psychology,https://commons.trincoll.edu/isep/,USA,International by name,no,no,,https://commons.trincoll.edu/isep/membership/,USD,80,,24,,,,,,no,,,no,,,"student, retired/emeritus, unemployed, employed part-time","""Students and people with reduced incomes are charged 24 U.S. dollars.""",no,,yes,"To pay ISEP dues (member fee) click on the “Donate” button below and use Paypal or a credit card to make a payment of $80US (or $24US if you are a student or have reduced income). Please send an email message to the ISEP Treasurer Chris Pagano (cpagano@clemson.edu) with the postal mailing address at which you would like to receive the print version of the Journal. You may also email the Treasurer if you have any questions, or wish to pay by another method.

We invite you to donate to the William Mace Travel Fund to support student travel to ISEP conferences, in honor of the Society’s founding Secretary. Any payment over and above your dues amount will be credited to the Travel Fund.","Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)","All members receive a subscription to our journal, Ecological Psychology, as part of their paid membership. In addition, members receive all communications sent out to Society members.
We invite you to donate to the William Mace Travel Fund to support student travel to ISEP conferences, in honor of the Society’s founding Secretary. Any payment over and above your dues amount will be credited to the Travel Fund.

",,0,0,0,April Robin Martinig,Saeed Shafiei Sabet
Elina Takola,Kevin R. Bairos-Novak,"International Society for Evolution, Medicine, and Public Health",https://isemph.org/,USA,International by name,yes,no,https://isemph.org/page-18249,https://isemph.org/membership,USD,120,250 for 3 years as well available; further discounts for medium/low countries,24,50 for 3 years as well available; further discounts for medium/low countries,48,100 for 3 years as well available; further discounts for medium/low countries,,,yes,mid and low income ,multiple discount levels,no,,,"student, postdoc / ECR (excluding students), retired/emeritus",,yes,Gratis membership,yes,,"Conference registration discount or waiver, Journal subscription discount or waiver, Publication fees (APC) discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)",,,0,0,0,Elina Takola,Kevin R. Bairos-Novak
Dylan G. E. Gomes,Kevin R. Bairos-Novak,International Society for Microbial Ecology,https://www.isme-microbes.org/,Netherlands,International by name,no,no,,https://www.isme-microbes.org/membership,EUR,37.5,Two year membership = 75,25,,,,,,yes,"""Please check the Low Income Country List at Hinari to see eligibility. Group A & B both count as LIC."" Found here (https://www.research4life.org/access/eligibility/)",,no,,,"student, retired/emeritus",,no,,no,,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Publication fees (APC) discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)",,,0,0,0,Dylan G. E. Gomes,Kevin R. Bairos-Novak
Ayumi Mizuno,James A. Orr,International Society for Subterranean Biology,https://www.sibios-issb.org,France,International by name,no,no,,https://www.sibios-issb.org/index.php/how-to-become-a-member/,EUR,30,Annual membership fee for regular members: 30 EUR,,"No mention of discount on the membership page: https://www.sibios-issb.org/index.php/how-to-become-a-member/

In the statue, however, there is a statement that there are three types of memberships: ""The Society is composed of (1) regular members, which are researchers in Subterranean Biology and associated field, (2) student members, and (3) honorary members.""",,,,,no,,,no,,,NA,"No mention of discounts on the membership page: https://www.sibios-issb.org/index.php/how-to-become-a-member/

In the statue, however, there is a statement that there are three types of memberships: ""The Society is composed of (1) regular members, which are researchers in Subterranean Biology and associated field, (2) student members, and (3) honorary members."" - so perhaps there is some discount for students, but not obvious.",no,,no,,, no information,,0,0,0,Ayumi Mizuno,James A. Orr
Losia Lagisz,Yefeng Yang,International Society for Systems Biology,https://www.issb.org/,USA,International by name,no,no,,https://www.issb.org/membership.html,NA,,no info,,no info,,,,,no,,,no,,,NA,,no,,no,,,,"no membership information, limited society information",0,1,0,Losia Lagisz,Yefeng Yang
Joanna Rutkowska,Ying-Chi Chan,"International Society for the Study of Religion, Nature and Culture",https://www.issrnc.org/,USA,International by name,yes,no,"Inclusion: The ISSRNC strives to be a community that is welcoming and supportive to the widest possible range of scholars, researchers, teachers and other professionals working  at the nexus of religion, nature, and culture.  We value racial and religious diversity, seek to maximize participation across socioeconomic differences among our membership, and affirm the importance of gender and sexual orientation as they shape the experiences and priorities of our members.",https://www.issrnc.org/shop/,USD,200,"Fee depends on the anual income, the highest regular memmebrship is for people with income above $120 000",,,,,,,yes,International scholars working or residing outside those countries designated as high income by the World Bank may take advantage of a discounted rate of $15 for membership.,,no,,,NA,Scholars working or residing outside those countries designated as high income by the World Bank,no,,yes,This option allows you to make an additional donation to support the ISSRNC Scholarship Fund. These donations will support Graduate Student Paper awards and allow the ISSRNC to provide need-based financial support for scholars to participate in ISSRNC conferences and related events.,"Conference registration discount or waiver, Journal subscription discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)","Members receive digital access to the Journal for the Study of Religion, Nature, and Culture and can enjoy free or reduced cost access to the Society’s online events, online discussion forums, and other professional opportunities. If you wish to subscribe to the print version of the Journal, there is an additional fee of $25/year.",,0,0,0,Joanna Rutkowska,Ying-Chi Chan
Caleb Onoja Akogwu,Dylan G. E. Gomes,International Society for Tropical Ecology,https://tropecol.org/,India,International by name,no,no,,https://tropecol.org/iste/membership.htm,INR,1000,Annual membership,,,,,,,yes,,US $ 38 for Residents in other developing countries,yes,,US $ 75 for Residents in developed countries,NA,"US $ 38 for Residents in other developing countries, and US $ 75 for Residents in developed countries. New members pay an admission fee of Rs. 100 or US $ 6, as applicable.
Life membership currently not available",no,,no,,"Conference registration discount or waiver, Journal subscription discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses), Other","Membership of the Society is open to persons of all nations, who are interested in ecology. Members are entitled to receive Society journal Tropical Ecology en gratis, to attend symposia and meeting, to vote in the election of the Executive Committee and be eligible for election to the Executive Committee. Details of membership and application form can be obtained from the Secretary or downloaded in PDF, WORD format.","I was confused about the ""Society type"" to select because it has an International Executive Committee.

Their website is also faulty. I could not access some webpages or download some documents.",0,0,0,Caleb Onoja Akogwu,Dylan G. E. Gomes
Caleb Onoja Akogwu,Ying-Chi Chan,International Society of Artificial Life,https://alife.org/,USA,International by name,yes,yes,"The mission of the International Society for Artificial Life’s DEI committee is to improve the diversity, equity, and inclusion of the ISAL community. While studying “life as it could be”, we must not ignore “life as it is” and this committee’s goal is to consider the Artificial Life community as it could be and as it currently is. Our vision is that ISAL becomes a community known as a safe haven for everyone, especially people who are underrepresented and discriminated against in the many larger fields that artificial life combines. We believe that achieving this vision requires a focus on inclusion, retention, and access to decision-making committees by members of underrepresented communities. Through this focus, we can ensure that “life as it could be” is achieved fully for all current and future members of our community.
DEI Form link: https://forms.gle/36YGa2iCPYzRBgT2A",https://alife.org/membership/,USD,103,"Subscription period: 1 year
No automatically recurring payments
For all non-student members of the ALife community",47,"Subscription period: 1 year
No automatically recurring payments
For all members of the Artificial Life community who are still students.",,,,,no,,,no,,,NA,No discount available for any group,no,,no,,"Conference registration discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses), Other","An ISAL membership will bring you the following benefits:

Electronic subscription to Artificial Life, the official journal of ISAL published by MIT Press. ISAL members can have access to the entire archive including all back issues. Print subscription is also available at additional costs.

Special discounts to ALIFE conference registration fees.

Eligibility for and right of voting in the ISAL Board Election.

Ability to edit the Encyclopedia of Artificial Life

Ability to post job ads on ALife.org.",,0,0,0,Caleb Onoja Akogwu,Ying-Chi Chan
Szymon Drobniak,Nina Trubanová,International Society of Chemical Ecology,https://chemecol.org,USA,International by name,no,no,,https://chemecol.org/membership/join-the-society/,USD,35,High rate,15,High rate,,,,,yes,"rate for members from countries other than Australia, Austria, Belgium, Canada, Denmark, Finland, France, Germany, Iceland, Israel, Italy, Japan, Luxembourg, Netherlands, New Zealand, Norway, Portugal, South Africa, Spain, Sweden, Switzerland, United Kingdom, or United States. Rate is $15 (regular) or $10 (student)",,no,,,student,,no,,no,,,Not listed on the website,,0,0,0,Szymon Drobniak,Nina Trubanová
Losia Lagisz,Shinichi Nakagawa,International Society of Ethnobiology,https://www.ethnobiology.net/,USA,International by name,no,no,Code of Ethics does not seem to cover diversity of the members,https://www.ethnobiology.net/get-involved/join-ise/#account/join,USD,50,"Persons with annual income above $40,000 USD",,,,,,,no,fees based on income brackets,,no,,,fees proportional to income brackets,"ISE membership fees are based on annual income (self-declared), and cover a 12-month period which begins during the month in which you register.",yes,"A limited number of membership fee waivers are available in exchange for in-kind contributions, such as language translation, computer design/graphics, photography, editing, writing, and distribution of ISE materials (e.g., regional brochures, posters). To inquire, please contact us.",yes,https://www.ethnobiology.net/get-involved/donate/#!form/Donations,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses), Other",other: volunteering opportunities,,0,0,0,Losia Lagisz,Shinichi Nakagawa
James A. Orr,Yefeng Yang,International Society of Hymenopterists,www.hymenopterists.org,USA,International by name,no,no,Not found on website and also not found in 2023 constitution and bylaws document (https://www.hymenopterists.org/wp-content/uploads/2023/11/ISH-consitution-and-bylaws_update_2023.pdf),https://www.hymenopterists.org/wp-content/uploads/2023/12/2024-Membership-form.pdf,USD,50,"""Regular""",20,"""Student""

From constitution: ""Student Members shall be registered part-time or full-time undergraduate or graduate students at a recognized institution of higher learning. Student Members shall have all the rights and privileges of Full Members including holding office on the Executive Committee except that of President-Elect/President and Editor.""",,,,,yes,Countries other than the 30 countries with the highest human development index (HDI) as listed by the UN Development Program,"You can either pay the full fees, or you can request sponsored membership (i.e., fees paid by someone else through a donation) using this form: https://docs.google.com/forms/d/e/1FAIpQLSdIZdDG7kW_sw22vK6xfGoPPRiezB0dC8mRScB04gd0n1c3mg/viewform?hl=en_US&formkey=dEtMTjROaDhQdmZRMWRGZnZTVjZ1LXc6MQ#gid=0

""ISH now has a sponsorship request form for individuals unable to pay for membership. The process of sponsorship is anonymous and the sponsee will only be notified that they are being sponsored so they can access the member database and other membership privileges.""

""If you would like to join the society, but are not able to afford membership, you can apply for sponsorship using the form below.
The society has recently reviewed and updated the process for applying for sponsorship (changes came into effect in October 2021).
Sponsorship is primarily intended for members who are unable to afford membership and based in a country other than the 30 countries with the highest human development index (HDI) as listed by the UN Development Program (see http://hdr.undp.org/en/data, i.e. generally not from Australia, Austria, Belgium, Canada, Cyprus, Denmark, Finland, France, Germany, Hong Kong, China (SAR), Iceland, Ireland, Israel, Italy, Japan, Korea (Republic of), Liechtenstein, Luxembourg, Malta, Netherlands, New Zealand, Norway, Singapore, Slovenia, Spain, Sweden, Switzerland, United Arab Emirates, United Kingdom, United States).
Sponsored members are encouraged to be active members of the Society.
The Society will review and award sponsored memberships in late January each year.
Applications for sponsorship in 2023 closed on the 14 January 2023.
For your application to be assessed in the 2024 round, please complete the below sponsorship application form before 14 January 2024. Applications will be assessed on the basis of the answers given in the form only and particular attention should be given to the suggested word counts.""

Information found here: https://www.hymenopterists.org/apply-for-sponsored-membership-to-the-society/

",no,,,"student, retired/emeritus, family","The membership categories can be seen on the form: https://www.hymenopterists.org/wp-content/uploads/2023/12/2024-Membership-form.pdf

Student - $20
Regular - $50
Retiree - $25
Family - $25 (for second member of same household)
Life Membership - $1,000

In addition there is ""sponsored memberships"" - anyone can request this, but it is not guaranteed and people based in countries that are not in the top 30 HDI countries are encouraged to apply. ",yes,"You can request sponsored membership (i.e., fees paid by someone else through a donation) using this form: https://docs.google.com/forms/d/e/1FAIpQLSdIZdDG7kW_sw22vK6xfGoPPRiezB0dC8mRScB04gd0n1c3mg/viewform?hl=en_US&formkey=dEtMTjROaDhQdmZRMWRGZnZTVjZ1LXc6MQ#gid=0",yes,In various parts of the website and on the membership dues form there are options to sponsor another member (student and/or regular). There is also the option to make a general donation: https://www.hymenopterists.org/store/,"Conference registration discount or waiver, Journal subscription discount or waiver, Publication fees (APC) discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses), Other","Benefits listed on this page: https://www.hymenopterists.org/membership-benefits/

Benefits of ISH membership include:
- Subscription to recent and new issues, and opportunities to publish articles in Hamuli, the Society newsletter
- Reduced Article Processing Charges for the Journal of Hymenoptera Research, the Society journal
- Free registration to the following annual events: Hymathon online symposium, held in the first half of each year, ISH Symposium, held in the second half of each year, ISH Business Meeting, held in the second half of each year
- Reduced ISH Congress registration fees
- Opportunities to present at annual Hymathon and ISH Symposia, and the quadrennial, international ISH Congress
- Access to recorded symposia presentations (e.g., Hymathon 2021)
- Networking opportunities, including virtual socials and an annual in-person social event at the Entomological Society of America meeting
- Member Directory access, with options to customize your personal member profile
- Student and ECP/ECR Manuscript Reviewer Database access
- Opportunities to share your news, updates, and information via the Society’s Listserv, Twitter, and/or Facebook Group
- Opportunity to participate in The Great Bycatch Migration
- Forum access
- Women of ISH (WISH) group activities, events, and resources
- Opportunities for leadership and recognition

Students and Early Career Professionals/Researchers (ECP/ECRs) have access to additional Society benefits:
- Student Presentation Award competition during symposia (e.g., Hymathon, ISH Symposium, and ISH Congress)
- ISH and ISH Endowment Student Travel Award opportunities to attend ISH Congress and/or the International Congress of Entomology (ICE)
- Sponsored meal at the ISH Students and Young Professionals Lunch, held in conjunction with the annual Entomological Society of America meeting
- Invitations to additional, exclusive virtual networking events
- Opportunity to list yourself in the Student and ECP/ECR Manuscript Reviewer Database
- Opportunities to have your news, updates, and information featured on the ISH Student and ECP/ECR’s Twitter and/or Facebook Page",,0,0,0,James A. Orr,Yefeng Yang
Shinichi Nakagawa,Yefeng Yang,International Society of Limnology,https://limnology.org/,USA,International by name,no,no,empty EDI page,https://limnology.org/members/membership-types-and-fees/,USD,93.6,"Regular Members, Developed Countries",10,"30 per 3 years, , Students, Developed Countries",46.8,"Early CareerEarly Career Members: professionals within the first 5 years after completion of their highest degree, who pay 50% of the dues in their country.",5,Early Career status is limited to a maximum of 5 years.,yes,Developing Countries,"Developing country: Gross Domestic Products (Gross National Incomes) per capita of US 25,000 or lower (based on the most recent World Bank list).",no,,,"student, postdoc / ECR (excluding students), retired/emeritus, family",,no,,yes,button on top,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Publication fees (APC) discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)",https://limnology.org/members/why-join-sil/,,0,0,0,Shinichi Nakagawa,Yefeng Yang
